id;title;overview;release_date;vote_average
781099;Inexorable;Après le succès retentissant de son premier roman Inexorable, Marcel Bellmer n’a jamais vraiment réussi à renouer avec le succès. Des années plus tard et au sortir d’une dépression qui l’a terrassé, il emménage avec sa femme et éditrice Jeanne Drahi, sa fille Lucie et leur chien Ulysse dans la riche propriété de son beau-père tout juste décédé. Dans ce temple de l’érudition où se sont succédés les grands écrivains du XXème Siècle, Marcel sent qu’il est rattrapé par ses démons. C’est alors que Gloria, étrangement fascinée par les Bellmer, se fait engager comme femme de ménage. Jeune et fougueuse, elle se rapproche de Marcel, ils s’attirent. Alors que Marcel sent revenir en lui le feu qui lui avait inspiré Inexorable, il glisse inexorablement dans un piège qui pourrait bien le mener à sa perte.;2022-03-31;6
848526;Arsenault & Fils;'Les Arsenault, une famille tissée serrée qui tire profit de la chasse illégale, font la loi depuis plusieurs générations dans un petit village du Bas-du-Fleuve. Le retour au bercail d''Anthony, l''impétueux cadet de la famille, puis l''arrivée d''Émilie, une animatrice de radio qui exerce un ascendant sur Anthony et son frère aîné Adam, viendront mettre à l''épreuve l''harmonie du clan.';2022-06-17;6.1
892527;King;'King, un lionceau destiné à un trafic, s''échappe de l''aéroport et se réfugie dans la maison d''Inès, 12 ans et Alex, 15. Le frère et la sœur ont alors l''idée folle de le ramener chez lui, en Afrique. Mais la traque des douaniers ne leur facilite pas la vie. Lorsque Max, leur grand-père fantasque qu''ils n''ont vu que deux fois dans leur vie, se joint à l''aventure, tout devient possible...';2022-02-16;6.6
894246;Tempête;'Née dans le haras de ses parents, Zoé a grandi au milieu des chevaux et n’a qu’un rêve : devenir jockey ! Tempête, une pouliche qu’elle voit naître, va devenir son alter ego. Mais un soir d''orage, Tempête, affolée, renverse Zoé et vient briser son rêve. Elle va pourtant s’accrocher et tenter l''impossible pour renouer avec son destin.';2022-12-21;6.9
796185;'Les Trois Mousquetaires: D''Artagnan';Du Louvre au Palais de Buckingham, des bas-fonds de Paris au siège de La Rochelle… Dans un Royaume divisé par les guerres de religion et menacé d’invasion par l’Angleterre, une poignée d’hommes et de femmes vont croiser leurs épées et lier leur destin à celui de la France.;2023-04-05;7.4
453354;Ava;Ava, 13 ans, est en vacances au bord de l’océan quand elle apprend qu’elle va perdre la vue plus vite que prévu. Sa mère décide de faire comme si de rien n’était pour passer le plus bel été de leur vie. Ava affronte le problème à sa manière. Elle vole un grand chien noir qui appartient à un jeune homme en fuite…;2017-06-21;6.2
77338;Intouchables;À la suite d’un accident de parapente, Philippe, riche aristocrate, engage comme aide à domicile Driss, un jeune de banlieue tout juste sorti de prison … Bref la personne la moins adaptée pour le job. Ensemble ils vont faire cohabiter Vivaldi et Earth Wind and Fire, le verbe et la vanne, les costumes et les bas de survêtement… Deux univers vont se télescoper, s’apprivoiser, pour donner naissance à une amitié aussi dingue, drôle et forte qu’inattendue, une relation unique qui fera des étincelles et qui les rendra … Intouchables.;2011-11-02;8.3
998587;La graine;Lucie et Inès s’aiment et veulent un enfant, mais il leur manque quelque chose… Après cinq tentatives de PMA, elles partent pour un ultime essai en Belgique. Commence alors une quête folle pour trouver LA graine.;2023-05-03;1
477489;Dans la brume;'Le jour où une étrange brume mortelle submerge Paris, des survivants trouvent refuge dans les derniers étages des immeubles et sur les toits de la capitale. Sans informations, sans électricité, sans eau ni nourriture, une petite famille tente de survivre à cette catastrophe... Mais les heures passent et un constat s''impose : les secours ne viendront pas et il faudra, pour espérer s’en sortir, tenter sa chance dans la brume…';2018-04-04;6.3
112160;'Chroniques sexuelles d''une famille d''aujourd''hui';Des petits déjeuners où les silences sont parfois pesants, des dîners où on parle de tous les sujets sauf de sexe , le quotidien d’une famille d’aujourd’hui est ébranlé quand le fils cadet, Romain, est pris en flagrant délit lors d’un cours de biologie à l’école en train de se masturber et de se filmer avec son téléphone portable. Il risque l’exclusion ! Romain explique que c’est un défi que les élèves se lancent entre eux, garçons et filles, « pour le fun ». Et lui, il s’est bêtement fait prendre.;2012-05-09;4.9
3134;Baise-moi;Nadine et Manu sont deux filles dingues, appliquées au possible, voire perfectionnistes. Elles ont plusieurs points communs : le sexe extrême, la drogue, la bière et la gachette. Elles arrangent les problèmes à coups de flingue et gare à ceux qui se mettent sur leur passage !;2000-06-28;4.9
81774;'Les Exploits d''un jeune Don Juan';'En 1914, Roger, 16 ans, arrive dans la demeure familiale peuplée de femmes, les hommes étant bientôt mobilisés sur le front. C''est dans cet environnement qu''il vit son éveil à la sensualité.';1986-11-04;5.7
852427;Kompromat;Russie, 2017. Mathieu Roussel est arrêté et incarcéré sous les yeux de sa fille. Expatrié français, il est victime d’un « kompromat », de faux documents compromettants utilisés par les services secrets russes pour nuire à un ennemi de l’État. Menacé d’une peine de prison à vie, il ne lui reste qu’une option : s’évader et rejoindre la France par ses propres moyens…;2022-09-07;6.5
911129;Sous emprise;'Lorsque Roxana rencontre Pascal Gauthier, champion du monde d''apnée No-limit, elle tombe follement amoureuse. Elle découvre avec lui une discipline aussi fascinante que dangereuse. De compétitions en compétitions, sur des spots de plongée aux quatre coins du monde, elle repousse ses limites au fil d''une histoire passionnelle qui la consume. Jusqu''où cette relation les mènera-t-elle? Sous Emprise est inspiré d''une histoire vraie.';2022-09-09;6.2
26338;Romance;'L''histoire de Marie, déchirée entre le sexe et les sentiments, entre celui qu''elle désire et celui qu''elle aime. Ou bien encore une histoire d''amour vue comme une question de pouvoir : « Un mec qu''on aime vraiment assez pour être fidèle, il ne vous baise plus. Quand on les trompe, ils vous baisent, c''est simple. Ce n''est pas qu''ils devinent qu''on les trompe, c''est qu''ils comprennent qu''on leur échappe. »';1999-04-14;5.5
729720;Le Dernier Mercenaire;'Richard Brumère dit « La brume » une véritable légende des services secrets, disparu depuis des années, est de retour en France. L’immunité qu''il avait négociée il y a vingt-cinq ans pour son fils caché, Archibald, est étrangement levée. Pour le sauver d''une opération mafieuse dont il est innocent mais qui pourrait lui coûter la vie, La Brume va devoir réactiver ses contacts un peu vieillissants, faire équipe avec une bande de jeunes plus ou moins téméraires, affronter un bureaucrate zélé, gérer les rapports père-fils nouveau pour lui, mais surtout trouver le courage de révéler à Archibald qu’il est son père.';2021-07-30;6.6
937046;'L''oubliée d''Amboise';'Après avoir donné un concert au château d''Amboise, un violoniste virtuose est retrouvé assassiné à quelques mètres de la tombe de Léonard de Vinci, dans une position qui rappelle L''Homme de Vitruve, un des plus célèbres dessins de l''artiste. Capitaine à la section de recherches d''Orléans, Alban Dutertre revient dans sa ville natale, où il n''a pas que des bons souvenirs, pour mener l''enquête. Il fait équipe avec l''Adjudant Bérénice Amarillo, de quinze ans sa cadette, une gendarme brillante mais timorée, qui a du mal à se défaire du poids d''une arrestation qui a mal tourné. Bientôt, un autre meurtre a lieu, toujours inspiré de Léonard De Vinci. S''ils veulent arrêter le meurtrier, Alban et Bérénice vont devoir résoudre une énigme digne de celles que l''artiste se plaisait à construire ...';2022-04-03;6.6
676705;Pil;Pil, une petite orpheline, vit dans les rues de la cité de Roc-en-Brume. Avec ses trois fouines apprivoisées, elle survit en allant chiper de la nourriture dans le château du sinistre régent Tristain, qui usurpe le trône. Un beau jour, pour échapper aux gardes qui la poursuivent, Pil se déguise en enfilant une robe de princesse. La voilà alors embarquée malgré elle dans une quête folle et délirante pour sauver Roland, l’héritier du trône victime d’un enchantement et transformé en… chapoul (moitié chat, moitié poule). Une aventure qui va bouleverser tout le royaume et apprendre à Pil que la noblesse peut se trouver en chacun de nous.;2021-08-11;6.7
